Vernier Format 2
Untitled.cmbl 10/21/2020 15:00:56 .
Latest
Time	Potential 1	EKG	Potential 2
t	Pot 1	EKG	Pot 2
s	mV	mV	V

0	-0.125671386719	-0.0057974475409	3.69010925293
0.005	-0.111099243164	-0.0242990197559	3.69132995605
0.01	-0.129257202148	-0.0509252209036	3.69255065918
0.015	-0.174194335938	-0.0797100658766	3.69255065918
0.02	-0.168167114258	-0.10895064591	3.69255065918
0.025	-0.117126464844	-0.132182020048	3.6937713623
0.03	0.0201263427734	-0.136852212344	3.69255065918
0.035	0.209564208984	-0.10777486472	3.69132995605
0.04	0.445159912109	-0.0327872317563	3.69255065918
0.045	0.747512817383	0.0953664860208	3.69255065918
0.05	0.716003417969	0.26333112488	3.6937713623
0.055	0.503448486328	0.421116587581	3.6937713623
0.06	0.175537109375	0.508588283723	3.69743347168
0.065	-0.0830993652344	0.493346706934	3.69979858398
0.07	-0.191207885742	0.386424854267	3.70346069336
0.075	-0.219131469727	0.230949497343	3.70223999023
0.08	-0.230117797852	0.0722139759613	3.70346069336
0.085	-0.228897094727	-0.0610794018107	3.70468139648
0.09	-0.207000732422	-0.156647841112	3.70468139648
0.095	-0.207000732422	-0.213951166172	3.70590209961
0.1	-0.193649291992	-0.240235172525	3.70468139648
0.105	-0.198532104492	-0.245406784956	3.70468139648
0.11	-0.175415039063	-0.238008908479	3.70346069336
0.115	-0.130477905273	-0.221813671238	3.70223999023
0.12	-0.130477905273	-0.199067752423	3.70590209961
0.125	-0.130477905273	-0.175224338186	3.70590209961
0.13	-0.120788574219	-0.154793934634	3.70346069336
0.135	-0.117126464844	-0.138749144526	3.70346069336
0.14	-0.107437133789	-0.126590101091	3.70346069336
0.145	-0.111099243164	-0.117691817155	3.70468139648
0.15	-0.108657836914	-0.111817456776	3.70590209961
0.155	-0.107437133789	-0.108401651858	3.70712280273
0.16	-0.0965270996094	-0.10609675107	3.70834350586
0.165	-0.0904235839844	-0.103419044951	3.70834350586
0.17	-0.0843200683594	-0.0997041001797	3.70834350586
0.175	-0.0697479248047	-0.0946475993678	3.71200561523
0.18	-0.0734100341797	-0.0884072619019	3.71200561523
0.185	-0.0770721435547	-0.0825707910068	3.71200561523
0.19	-0.0576171875	-0.0776192612469	3.71322631836
0.195	-0.0479278564453	-0.0719436173676	3.71559143066
0.2	-0.0418243408203	-0.0648861250615	3.71444702148
0.205	-0.0333557128906	-0.0570505304223	3.71444702148
0.21	-0.0296936035156	-0.0490462839235	3.71322631836
0.215	-0.0200042724609	-0.0412605548578	3.71444702148
0.22	-0.00901794433594	-0.0334492427643	3.71444702148
0.225	0.00311279296875	-0.0250465109342	3.71322631836
0.23	0.0310363769531	-0.0149892343777	3.71322631836
0.235	0.0249328613281	-0.00311969654644	3.71681213379
0.24	0.0152435302734	0.0077289274737	3.71803283691
0.245	0.0346984863281	0.0157955406856	3.71803283691
0.25	0.0686492919922	0.0239196272309	3.71681213379
0.255	0.0528564453125	0.0338742282547	3.71681213379
0.26	0.0565185546875	0.0431702505598	3.71681213379
0.265	0.0953521728516	0.0518277984669	3.71559143066
0.27	0.100234985352	0.0625509059255	3.71681213379
0.275	0.0528564453125	0.0723674889989	3.71681213379
0.28	0.0456085205078	0.075446383858	3.71681213379
0.285	0.0540771484375	0.0721797572994	3.71925354004
0.29	0.0359191894531	0.0660044340679	3.71925354004
0.295	0.0224914550781	0.0576340021174	3.72169494629
0.3	-0.0139007568359	0.04597317242	3.72291564941
0.305	-0.0515899658203	0.0291300318466	3.72413635254
0.31	-0.063720703125	0.00713039172726	3.72779846191
0.315	-0.0721893310547	-0.0165943155363	3.72535705566
0.32	-0.0892028808594	-0.0389154025509	3.72535705566
0.325	-0.101333618164	-0.0589473413413	3.72657775879
0.33	-0.115905761719	-0.0767333417791	3.72779846191
0.335	-0.119567871094	-0.0922057922047	3.72657775879
0.34	-0.130477905273	-0.105198740529	3.72535705566
0.345	-0.130477905273	-0.115750225675	3.72657775879
0.35	-0.146270751953	-0.124385785271	3.72779846191
0.355	-0.141464233398	-0.131720945122	3.72779846191
0.36	-0.120788574219	-0.13639429623	3.72779846191
0.365	-0.120788574219	-0.136766832594	3.72901916504
0.37	-0.122009277344	-0.134057940359	3.72779846191
0.375	-0.125671386719	-0.130614994327	3.72779846191
0.38	-0.122009277344	-0.127671601816	3.72901916504
0.385	-0.106216430664	-0.124619539659	3.72657775879
0.39	-0.0879821777344	-0.119609997344	3.72657775879
0.395	-0.101333618164	-0.112767154826	3.72657775879
0.4	-0.0965270996094	-0.106454303166	3.72779846191
0.405	-0.0940856933594	-0.101626833201	3.72779846191
0.41	-0.0734100341797	-0.0970198999672	3.72657775879
0.415	-0.0503692626953	-0.0902883843101	3.72657775879
0.42	-0.061279296875	-0.0811777903104	3.72779846191
0.425	-0.0879821777344	-0.0737538277261	3.72535705566
0.43	-0.0795135498047	-0.0711056247024	3.72535705566
0.435	-0.05517578125	-0.0706226249413	3.72291564941
0.44	-0.061279296875	-0.068939028101	3.72291564941
0.445	-0.0746307373047	-0.067031945585	3.72291564941
0.45	-0.0746307373047	-0.0668802768817	3.72291564941
0.455	-0.063720703125	-0.0677325556453	3.72047424316
0.46	-0.0479278564453	-0.0671861678849	3.72047424316
0.465	-0.0345764160156	-0.06347639172	3.72047424316
0.47	-0.0515899658203	-0.0577198382861	3.72291564941
0.475	-0.0830993652344	-0.0544262862746	3.72047424316
0.48	-0.0807342529297	-0.0565347480367	3.72169494629
0.485	-0.0721893310547	-0.0617520966629	3.72169494629
0.49	-0.061279296875	-0.0661348993958	3.71925354004
0.495	-0.0491485595703	-0.0673381114	3.71925354004
0.5	-0.0515899658203	-0.0652456378096	3.72169494629
0.505	-0.0503692626953	-0.0615277509561	3.72169494629
0.51	-0.052734375	-0.0578056241443	3.72047424316
0.515	-0.066162109375	-0.0555495918742	3.72169494629
0.52	-0.06005859375	-0.0554973340648	3.72169494629
0.525	-0.0454864501953	-0.0559226364833	3.72169494629
0.53	-0.0503692626953	-0.055103537278	3.72047424316
0.535	-0.0673828125	-0.0543867045654	3.72169494629
0.54	-0.0709686279297	-0.0558128473975	3.72047424316
0.545	-0.0625	-0.0587548025713	3.72047424316
0.55	-0.0418243408203	-0.0603296506036	3.71925354004
0.555	-0.0321350097656	-0.0581962660981	3.71925354004
0.56	-0.0345764160156	-0.0528976433865	3.71925354004
0.565	-0.0406036376953	-0.0470763710835	3.72047424316
0.57	-0.0357971191406	-0.0425192227456	3.72169494629
0.575	-0.0393829345703	-0.039424703904	3.71925354004
0.58	-0.0381622314453	-0.0376733407281	3.71925354004
0.585	-0.0200042724609	-0.0361208663904	3.71925354004
0.59	-0.0102386474609	-0.0327705439173	3.71925354004
0.595	0.0140228271484	-0.0262963467085	3.71925354004
0.6	0.0212707519531	-0.0164571384119	3.71925354004
0.605	0.0201263427734	-0.00504342657057	3.71803283691
0.61	0.0201263427734	0.00526727751534	3.71925354004
0.615	0.0480499267578	0.0143682750404	3.71803283691
0.62	0.0832214355469	0.0253937979916	3.71803283691
0.625	0.0977935791016	0.0405367717855	3.71803283691
0.63	0.0881042480469	0.0574304848745	3.71681213379
0.635	0.0917663574219	0.0720150895998	3.71803283691
0.64	0.0784149169922	0.0820477572794	3.71803283691
0.645	0.0346984863281	0.0849107964194	3.71681213379
0.65	0.0189056396484	0.0783415019471	3.71681213379
0.655	-0.0381622314453	0.0622390175308	3.71681213379
0.66	-0.0904235839844	0.0360145898172	3.71681213379
0.665	-0.123229980469	0.000683304292492	3.71681213379
0.67	-0.142608642578	-0.038938981218	3.71681213379
0.675	-0.170608520508	-0.0779532915245	3.71681213379
0.68	-0.180297851563	-0.113393718981	3.71803283691
0.685	-0.160842895508	-0.141824909225	3.71803283691
0.69	-0.137802124023	-0.159151632296	3.71803283691
