Vernier Format 2
Untitled.cmbl 10/21/2020 15:15:05 .
Latest
Time	Potential 1	EKG	Potential 2
t	Pot 1	EKG	Pot 2
s	mV	mV	V

0	-0.204559326172	 	4.22470092773
0.005	-0.230117797852	 	4.22828674316
0.01	-0.27864074707	 	4.22950744629
0.015	-0.333343505859	 	4.23072814941
0.02	-0.329681396484	 	4.23316955566
0.025	-0.198532104492	 	4.23316955566
0.03	-0.0163421630859	 	4.23194885254
0.035	0.364974975586	 	4.22828674316
0.04	0.87141418457	 	4.22470092773
0.045	0.947937011719	 	4.22828674316
0.05	0.66130065918	 	4.23316955566
0.055	0.286087036133	 	4.23194885254
0.06	-0.0916442871094	 	4.23805236816
0.065	-0.239807128906	 	4.24163818359
0.07	-0.251937866211	 	4.24285888672
0.075	-0.239807128906	 	4.24285888672
0.08	-0.225234985352	 	4.24530029297
0.085	-0.228897094727	 	4.24652099609
0.09	-0.253158569336	 	4.24652099609
0.095	-0.247055053711	 	4.24774169922
0.1	-0.225234985352	 	4.25018310547
0.105	-0.219131469727	 	4.24896240234
0.11	-0.211883544922	 	4.24896240234
0.115	-0.183959960938	 	4.24896240234
0.12	-0.148712158203	 	4.25018310547
0.125	-0.130477905273	 	4.25018310547
0.13	-0.115905761719	 	4.25140380859
0.135	-0.0965270996094	 	4.25140380859
0.14	-0.0673828125	 	4.25262451172
0.145	-0.0515899658203	 	4.25262451172
0.15	-0.0284729003906	 	4.25506591797
0.155	-0.0321350097656	 	4.25384521484
0.16	-0.0345764160156	 	4.25506591797
0.165	-0.00787353515625	 	4.25506591797
0.17	0.0152435302734	 	4.25628662109
0.175	0.0589599609375	 	4.25628662109
0.18	0.0638427734375	 	4.25750732422
0.185	0.129379272461	 	4.25628662109
0.19	0.142730712891	 	4.25750732422
0.195	0.125717163086	 	4.25987243652
0.2	0.209564208984	 	4.2586517334
0.205	0.19499206543	 	4.26109313965
0.21	0.16340637207	 	4.26109313965
0.215	0.0917663574219	 	4.26231384277
0.22	0.120910644531	 	4.26231384277
0.225	0.131820678711	 	4.26475524902
0.23	0.146392822266	 	4.26597595215
0.235	0.150054931641	 	4.26719665527
0.24	0.124572753906	 	4.26597595215
0.245	0.0589599609375	 	4.26719665527
0.25	0.0528564453125	 	4.2684173584
0.255	-0.00901794433594	 	4.26963806152
0.26	-0.0151214599609	 	4.2684173584
0.265	0.0249328613281	 	4.2684173584
0.27	-0.0139007568359	 	4.27207946777
0.275	-0.0114593505859	 	4.27207946777
0.28	-0.0235900878906	 	4.27085876465
0.285	-0.0830993652344	 	4.2733001709
0.29	-0.0746307373047	 	4.2733001709
0.295	-0.0272521972656	 	4.2733001709
0.3	0.0152435302734	 	4.2733001709
0.305	-0.00901794433594	 	4.2756652832
0.31	-0.0467071533203	 	4.2756652832
0.315	-0.0102386474609	 	4.27444458008
0.32	0.0224914550781	 	4.27444458008
0.325	0.0322570800781	 	4.2756652832
0.33	0.0382843017578	 	4.27444458008
0.335	0.0528564453125	 	4.2756652832
0.34	0.0552978515625	 	4.2756652832
0.345	0.0844421386719	 	4.2756652832
0.35	0.0638427734375	 	4.27688598633
0.355	0.0285949707031	 	4.27932739258
0.36	0.117248535156	 	4.27932739258
0.365	0.145172119141	 	4.27932739258
0.37	0.114807128906	 	4.2805480957
0.375	0.0759735107422	 	4.28298950195
0.38	0.0917663574219	 	4.28176879883
0.385	0.106338500977	 	4.28421020508
0.39	0.137924194336	 	4.28421020508
0.395	0.0881042480469	 	4.28298950195
0.4	-0.0430450439453	 	4.28665161133
0.405	-0.145050048828	 	4.28909301758
0.41	-0.148712158203	 	4.29023742676
0.415	-0.164505004883	 	4.29023742676
0.42	-0.210662841797	 	4.29145812988
0.425	-0.216690063477	 	4.29267883301
0.43	-0.207000732422	 	4.29389953613
0.435	-0.199752807617	 	4.29512023926
0.44	-0.192428588867	 	4.29512023926
0.445	-0.185180664063	 	4.29512023926
0.45	-0.174194335938	 	4.29512023926
0.455	-0.181518554688	 	4.29512023926
0.46	-0.180297851563	 	4.29756164551
0.465	-0.211883544922	 	4.30122375488
0.47	-0.2919921875	 	4.30122375488
0.475	-0.28840637207	 	4.30000305176
0.48	-0.149932861328	 	4.30000305176
0.485	0.0747528076172	 	4.29878234863
0.49	0.446380615234	 	4.29634094238
0.495	0.917572021484	 	4.29267883301
0.5	1.14347839355	 	4.29267883301
0.505	0.921234130859	 	4.29389953613
0.51	0.491317749023	 	4.29634094238
0.515	0.107559204102	 	4.30603027344
0.52	-0.156036376953	 	4.30603027344
0.525	-0.230117797852	 	4.30603027344
0.53	-0.258041381836	 	4.30847167969
0.535	-0.224014282227	 	4.30847167969
0.54	-0.203338623047	 	4.30969238281
0.545	-0.237365722656	 	4.31213378906
0.55	-0.214324951172	 	4.31091308594
0.555	-0.216690063477	 	4.31091308594
0.56	-0.202117919922	 	4.31213378906
0.565	-0.149932861328	 	4.31213378906
0.57	-0.131698608398	 	4.31213378906
0.575	-0.126815795898	 	4.31213378906
0.58	-0.151153564453	 	4.31213378906
0.585	-0.0953063964844	 	4.30969238281
0.59	-0.061279296875	 	4.31213378906
0.595	-0.058837890625	 	4.31091308594
0.6	-0.0709686279297	 	4.30969238281
0.605	-0.0625	 	4.30969238281
0.61	0.00067138671875	 	4.31213378906
0.615	0.0249328613281	 	4.31335449219
0.62	0.0419464111328	 	4.31579589844
0.625	0.0201263427734	 	4.31579589844
0.63	0.0152435302734	 	4.31579589844
0.635	0.0212707519531	 	4.31579589844
0.64	0.0359191894531	 	4.31823730469
